Time	[0:22]	[0:23]	[0:24]	[0:25]	[0:26]	[12:1]	[12:2]	[12:3]	[12:4]	[12:6]	[12:7]	[12:8]	[12:9]	[12:10]	[12:11]	[13:0]	[13:2]	[13:4]	[13:6]	[14:21]	[14:22]	[14:23]	[14:24]	[14:25]	[35:12]	[36:12]	[37:12]	[38:12]	[39:12]
time	Std1LinSpdRef	Std2LinSpdRef	Std3LinSpdRef	Std4LinSpdRef	Std5LinSpdRef	InterStd12TenRef	InterStd23TenRef	InterStd34TenRef	InterStd45TenRef	InterStd01TenActFlt	InterStd12TenActFlt	InterStd23TenActFlt	InterStd34TenActFlt	InterStd45TenActFlt	InterStd5TenrTenActFlt	X0.ThkAct	X1.ThkAct	X4.ThkAct	X5A.ThkAct	Std1ThkRef	Std2ThkRef	Std3ThkRef	Std4ThkRef	Std5ThkRef	1#HgcSrgActOS	2#HgcSrgActOS	3#HgcSrgActOS	4#HgcSrgActOS	5#HgcSrgActOS	
0.098	195.252	314.298	482.29	801.653	1200	17.832	11.762	7.928	4.94	11.1548	18.3345	11.788	7.99098	4.89375	1.47874	2.17701	1.4948	0.370612	0.252766	1.505	0.934	0.607	0.37	0.252	1.76399	0.862991	0.765976	1.3199	2.96127
0.1	195.284	314.298	482.291	801.655	1200	17.832	11.762	7.928	4.94	11.1548	18.3345	11.788	7.99098	4.89375	1.47874	2.17701	1.4948	0.370612	0.252766	1.505	0.934	0.607	0.37	0.252	1.76399	0.862991	0.765976	1.3199	2.96127
0.102	195.284	314.298	482.291	801.655	1200	17.832	11.762	7.928	4.94	11.1548	18.3345	11.788	7.99098	4.89375	1.47874	2.17701	1.4948	0.370612	0.252766	1.505	0.934	0.607	0.37	0.252	1.76399	0.862991	0.765976	1.3199	2.96127
0.104	195.284	314.298	482.291	801.655	1200	17.832	11.762	7.928	4.94	11.1548	18.3345	11.788	7.99098	4.89375	1.47874	2.17701	1.4948	0.370612	0.252766	1.505	0.934	0.607	0.37	0.252	1.76399	0.862991	0.765976	1.3199	2.96127
0.106	195.284	314.298	482.291	801.655	1200	17.832	11.762	7.928	4.94	11.1548	18.3345	11.788	7.99098	4.89375	1.47874	2.17701	1.4948	0.370612	0.252766	1.505	0.934	0.607	0.37	0.252	1.76399	0.862991	0.765137	1.31994	2.96048
0.108	195.284	314.298	482.291	801.655	1200	17.832	11.762	7.928	4.94	11.1548	18.3345	11.788	7.99098	4.89375	1.47874	2.17701	1.4948	0.370612	0.252766	1.505	0.934	0.607	0.37	0.252	1.76399	0.862991	0.765137	1.31994	2.96048
0.11	195.284	314.298	482.291	801.655	1200	17.832	11.762	7.928	4.94	11.1548	18.3345	11.788	7.99098	4.89375	1.47874	2.17701	1.4948	0.370612	0.252766	1.505	0.934	0.607	0.37	0.252	1.76399	0.862991	0.765137	1.31994	2.96048
0.112	195.284	314.298	482.291	801.655	1200	17.832	11.762	7.928	4.94	11.1548	18.3345	11.788	7.99098	4.89375	1.47874	2.17701	1.4948	0.370612	0.252766	1.505	0.934	0.607	0.37	0.252	1.76399	0.862991	0.765137	1.31994	2.96048
0.114	195.284	314.298	482.291	801.655	1200	17.832	11.762	7.928	4.94	11.1548	18.3345	11.788	7.99098	4.89375	1.47874	2.17701	1.4948	0.370612	0.252766	1.505	0.934	0.607	0.37	0.252	1.76399	0.862991	0.765137	1.31994	2.96048
0.116	195.284	314.298	482.291	801.655	1200	17.832	11.762	7.928	4.94	11.1548	18.3345	11.788	7.99098	4.89375	1.47874	2.17701	1.49724	0.370612	0.252859	1.505	0.934	0.607	0.37	0.252	1.76399	0.8629	0.76503	1.31995	2.96028
